Text
"Scenario: Current Policies, Region: USA, Variable: Agricultural Demand, Model: GCAM-PR 5.3"
"Scenario: Current Policies, Region: USA, Variable: Primary Energy Nuclear, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Primary Energy Nuclear, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Primary Energy Oil, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Primary Energy Oil, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Primary Energy Oil, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Primary Energy Oil, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Primary Energy Oil, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Primary Energy Oil, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Primary Energy Oil, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Primary Energy Oil, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Primary Energy Other, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Primary Energy Other, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Primary Energy Solar, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Primary Energy Solar, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Primary Energy Wind, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Primary Energy Wind, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Secondary Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Trade Primary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Trade Primary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Trade Primary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Trade Primary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Trade Primary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Trade Primary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Trade Secondary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Trade Secondary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Trade Secondary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Trade Secondary Energy, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Value Added Agriculture, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Value Added Agriculture, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Value Added Industry, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Value Added Industry, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Value Added Industry, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Value Added Industry, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Value Added Industry, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Value Added Industry, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Value Added Industry, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Value Added Industry, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: USA, Variable: Value Added Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Current Policies, Region: World, Variable: Value Added Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Capital Stock, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Capital Stock, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Carbon Sequestration CCS, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Consumption, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Consumption, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CH4, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CH4, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CH4, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CH4, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CH4, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CH4, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CH4, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CH4, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CH4, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CH4, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions CO2, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions F-Gases, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions F-Gases, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions HFC, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions HFC, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions N2O, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions PFC, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions PFC, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions PFC, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions PFC, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Emissions SF6, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Emissions SF6, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Employment, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Employment, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Employment Agriculture, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Employment Agriculture, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Employment Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Employment Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Employment Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Employment Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Employment Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Employment Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Employment Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Employment Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Employment Service, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Employment Service, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Expenditure government, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Expenditure government, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Expenditure household, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Expenditure household, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Expenditure household, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Expenditure household, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Expenditure household, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Expenditure household, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Expenditure household, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Expenditure household, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Export, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Export, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Export Agriculture, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Export Agriculture, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Export Energy, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Export Energy, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Export Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Export Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Export Other, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Export Other, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Electricity, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Gases, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Gases, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Industry, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Liquids, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Liquids, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Other Sector, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Other Sector, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Other Sector, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Other Sector, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Other Sector, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Other Sector, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Other Sector, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Other Sector, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Other Sector, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Other Sector, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: USA, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
"Scenario: Ambitious climate policies (NDC_LTT), Region: World, Variable: Final Energy Residential and Commercial, Model: GEMINI-E3 7.0"
